,Ticker,OpenPrice,Sector,Daylow,Dayhigh,52weekhigh
3,AAPL,316.14,Technology,313.09,318.71,327.85
100,AOS,45.43,Industrials,45.37,47.31,52.61
1183,MOS,13.13,Basic Materials,12.355,13.15,25.71
500,DGX,112.15,Healthcare,115.415,117.37,125.0
1172,MMLP,2.53,Energy,2.4726,2.531,7.26
1203,MSFT,180.74,Technology,180.39,182.47,190.7
959,IRL,7.35,Financial Services,7.1842,7.35,10.08
300,BZM,13.12,Financial Services,13.1,13.2,18.74
833,GSBC,43.93,Financial Services,42.57,44.25,64.48
1215,MUR,13.04,Energy,12.62,13.05,28.12
